lon rpoH mopA htpG rpoE_rseABC ibpAB ecfABC ecfH fkpA crp araE xprB_dsbC_recJ lpxDA_fabZ ppiA dnaA ptsHI_crr cirA cyaA speC araBAD clpP nagBACD araJ nupG ecfK fur yhfA srlAEBD_gutM_srlR_gutQ fucPIKUR mopB mglBAC malK_lamB_malM uppS_cdsA_ecfE fecIR sodA tnaLAB deoCABD fepB glgS htrA acs ebgAC araC ansB fnr himA cytR narK gntKU ivbL_ilvBN icdA hflB arcA fhuACDB frdABCD ecfD malEFG narL appY dcuB_fumB focA_pflB ecfG melAB tdcABCDEFG gltA fixABCX hypABCDE fucAO nuoABCEFGHIJKLMN aceBAK caiTABCDE malT nrfABCDEFG tsx gntT cydAB manXYZ appCBA ompC yjdHG cpxAR htpY malI dnaKJ malS grpE deoR pspABCDE sdhCDAB_b0725_sucABCD dmsABC ostA_surA_pdxA FruR marRAB cyoABCDE tonB soxS nfo rpoD uhpT caiF
0.18905326 0.08863721 0.20510568 0.26045917 0.56120485 0.24566753 0.78278753 0.84926766 0.75638518 0.77111485 0.43956654 0.80061690 0.72318128 0.04478987 0.33857442 0.17834390 0.62678804 0.13469111 0.06771861 0.87435760 0.29558807 0.59654829 0.84663799 0.11488488 0.79853319 0.46243817 0.91203216 0.39174698 0.93043011 0.22320153 0.89474119 0.91852700 0.75249863 0.65777975 0.07032021 0.89459624 0.13399734 0.34754834 0.92138549 0.75519844 0.94260803 0.85455372 0.64864104 0.91685988 0.82707610 0.94203906 0.82739734 0.93982076 0.89774350 0.86883310 0.07553967 0.19451451 0.94732178 0.25958256 0.41557032 0.81481002 0.90209231 0.81398735 0.97992086 0.21758523 0.32597490 0.74332202 0.87790373 0.94852975 0.42030037 0.67553917 0.95224438 0.93292324 0.07970154 0.18912390 0.17953166 0.86098535 0.91863936 0.07747345 0.90190402 0.39272144 0.43923636 0.98547417 0.02461000 0.86606027 0.59094955 0.18433358 0.24873465 0.20608784 0.91354530 0.22596215 0.21491477 0.97103203 0.17463066 0.72711453 0.82435961 0.36560317 0.53824603 0.03628599 0.35603887 0.74457158 0.79950573 0.84273983 0.91787765 0.28474830
0.22101790 0.10583962 0.23898457 0.30003017 0.64282617 0.28385382 0.83528916 0.88799949 0.81374962 0.30675948 0.35403068 0.83638027 0.78615410 0.22957545 0.72929961 0.53711675 0.38944256 0.54235519 0.35609733 0.60140808 0.33805647 0.45151218 0.55142284 0.17187689 0.84796774 0.33863130 0.57658595 0.29712923 0.69725180 0.25909518 0.52751770 0.60355280 0.81054868 0.74951142 0.09002420 0.52713429 0.23047160 0.47228727 0.60620620 0.79638191 0.77373313 0.43557110 0.38257625 0.70782145 0.69324052 0.64282617 0.62411053 0.87465217 0.53555732 0.46524371 0.03456169 0.22714388 0.89470338 0.37068700 0.33193599 0.86094616 0.55178075 0.87043155 0.95843578 0.24253587 0.25867099 0.80296116 0.48570323 0.79492484 0.24721657 0.43462231 0.84303763 0.69299558 0.11699715 0.22988312 0.15453081 0.44857458 0.94545541 0.14545982 0.54701846 0.42602218 0.23372497 0.96984185 0.18556963 0.35717383 0.62411053 0.21571249 0.37493033 0.24007996 0.59632240 0.26214993 0.37588947 0.78777160 0.11888433 0.65547361 0.86850067 0.10487170 0.64282617 0.07223473 0.48157589 0.38007980 0.69546753 0.88291739 0.59481936 0.20496959
0.36568677 0.19388183 0.38953293 0.46551097 0.42487249 0.44609871 0.67549220 0.76495018 0.64201174 0.56399846 0.41853155 0.68601219 0.60143338 0.14271571 0.06492050 0.17047098 0.53843949 0.28845676 0.15908362 0.78287208 0.50925179 0.55253841 0.74239276 0.11208969 0.69599449 0.42324179 0.79923061 0.36233747 0.84708339 0.41539708 0.76546896 0.81372009 0.63717527 0.68683505 0.07178424 0.76519270 0.15944349 0.38440687 0.81818689 0.62511962 0.80898420 0.69286810 0.54913119 0.73269316 0.43600154 0.42487249 0.42214357 0.77196658 0.77121563 0.71777854 0.16853368 0.37389792 0.74402450 0.29127685 0.31864573 0.71762615 0.78062564 0.94437460 0.88748881 0.18320484 0.23005172 0.62584933 0.73409826 0.76534527 0.40169045 0.54809865 0.66895058 0.84974196 0.19626257 0.13619013 0.24924120 0.70397254 0.97768122 0.08359509 0.77925811 0.49839235 0.35405404 0.91750248 0.35695515 0.57512751 0.42214357 0.35850690 0.29712124 0.39096385 0.80556153 0.41925185 0.57785643 0.60374405 0.23988338 0.48828962 0.73052981 0.52857394 0.42487249 0.17637914 0.39325512 0.10572131 0.42160821 0.75582061 0.81101877 0.20129460
0.31263384 0.15948697 0.33484670 0.40727442 0.92675271 0.38852537 0.97271570 0.98237490 0.96846929 0.34039397 0.36685791 0.67287673 0.96274772 0.30702957 0.83599723 0.52690887 0.41250635 0.50401336 0.32166788 0.63194308 0.45015180 0.46984702 0.58232654 0.14811301 0.97513051 0.35349504 0.61361843 0.30875933 0.72110029 0.35921641 0.56560854 0.63896947 0.96782229 0.73850435 0.07317567 0.56523057 0.22306987 0.45595128 0.64225541 0.62893929 0.78433314 0.47367875 0.40829751 0.71692833 0.65960627 0.92675271 0.17660399 0.88162860 0.57352402 0.50363100 0.03366218 0.32025518 0.87931246 0.35549787 0.27218539 0.97754136 0.58898979 0.67451479 0.95185897 0.19815276 0.32171580 0.96627099 0.52412408 0.83672327 0.26838871 0.48490855 0.90430963 0.71851401 0.08694271 0.27126457 0.13145777 0.48683863 0.84244704 0.12326366 0.58477465 0.43499436 0.25062938 0.96503731 0.03139365 0.07324727 0.17660399 0.30599311 0.36331286 0.33618737 0.63112048 0.36287345 0.82339601 0.96309231 0.13237969 0.68078446 0.97891660 0.09457620 0.92675271 0.08274101 0.46520185 0.23690857 0.69170213 0.98148617 0.63127693 0.24854344
0.10676093 0.04749468 0.11683262 0.15294697 0.73539173 0.14307975 0.88676228 0.92448939 0.87091372 0.86018366 0.44477390 0.91854524 0.85022870 0.02714754 0.97894719 0.29279176 0.65907376 0.07854359 0.03825508 0.90519600 0.17704682 0.61040853 0.88324994 0.12407842 0.89597221 0.47512237 0.94983177 0.40115808 0.95978596 0.12839840 0.93947733 0.95354569 0.86853649 0.64837553 0.13120923 0.93938999 0.13458554 0.33608914 0.95536276 0.89920964 0.69122706 0.91474296 0.68533083 0.62669641 0.13981628 0.73539173 0.86504544 0.48761290 0.94128768 0.92364112 0.12641655 0.11016791 0.37932394 0.24991278 0.38422547 0.90531040 0.94379562 0.19175796 0.62385243 0.14472458 0.46289557 0.86287847 0.92922993 0.77735253 0.64971984 0.77798327 0.59611126 0.96149212 0.11175090 0.40263569 0.24867888 0.91876594 0.37971577 0.08037216 0.94378746 0.50327173 0.47333979 0.71007113 0.12858146 0.26460827 0.86504544 0.10383262 0.23075797 0.11745453 0.95040090 0.13018298 0.13495455 0.85145322 0.53922496 0.32941608 0.91070479 0.10878345 0.73539173 0.47445280 0.34444752 0.58808875 0.81583406 0.92091581 0.95329450 0.42168376
0.182567876 0.085234488 0.198204214 0.252286289 0.667423112 0.237809544 0.849730217 0.898381440 0.829694198 0.984595086 0.449710983 0.816729728 0.803891507 0.035609868 0.470341069 0.016396429 0.699685339 0.008138085 0.003814210 0.942199115 0.286740284 0.626417741 0.928261028 0.073769720 0.861481617 0.489990273 0.994941245 0.412123812 0.995877325 0.215856517 0.993837247 0.995316315 0.826708931 0.637349480 0.211822781 0.993827815 0.096250636 0.322934180 0.995522579 0.771673697 0.506387806 0.991108317 0.731860196 0.514092323 0.015404919 0.667423112 0.539334785 0.406425641 0.994032039 0.992104982 0.850364420 0.187885178 0.055559108 0.238917032 0.235624781 0.873478580 0.994286781 0.336919267 0.137668090 0.078907461 0.275787012 0.819624603 0.992722160 0.720614193 0.933722830 0.732620367 0.450831694 0.996085412 0.252098815 0.324326686 0.249825447 0.991561128 0.567294056 0.046816637 0.994299408 0.149900025 0.518738630 0.209769651 0.169671176 0.332577163 0.539334785 0.177974570 0.207943873 0.199161599 0.994959522 0.218551852 0.460665215 0.805408195 0.914921383 0.046402601 0.880446361 0.889663687 0.667423112 0.896077213 0.331128573 0.740226312 0.844956723 0.893714364 0.995306352 0.289266793
0.24134221 0.11716546 0.26040875 0.32459270 0.13177237 0.30767415 0.29954968 0.40069696 0.26924256 0.55401344 0.41705887 0.21076020 0.23665004 0.21819669 0.11556738 0.08741072 0.53360883 0.29684121 0.16457742 0.77754844 0.36411272 0.54983969 0.73651118 0.11949697 0.31988956 0.42088871 0.79265267 0.36055608 0.84240077 0.28165497 0.75811914 0.80758552 0.26513446 0.68857866 0.13300397 0.75783695 0.18079509 0.38669218 0.81208357 0.17337116 0.80951127 0.68418130 0.54371490 0.73357572 0.44598656 0.13177237 0.05262828 0.58594513 0.76399041 0.70950134 0.21748487 0.24785228 0.75166208 0.29327227 0.49113347 0.34302143 0.77366969 0.48105555 0.89147030 0.28402162 0.31047720 0.25575996 0.72611706 0.65024022 0.39565298 0.62365892 0.48184394 0.84497964 0.21863926 0.04838381 0.46158795 0.69546221 0.70517390 0.08808605 0.77221200 0.49557652 0.34971587 0.92047097 0.72987155 0.86822763 0.05262828 0.23569655 0.29972825 0.26156858 0.79933448 0.28487343 0.94737154 0.23839750 0.23405360 0.59590992 0.35772247 0.86286031 0.13177237 0.17098356 0.39555923 0.96632131 0.62236617 0.38872509 0.80473225 0.31553648
0.20480657 0.09702421 0.22183070 0.28010734 0.48263207 0.26459910 0.72440837 0.80428849 0.69368615 0.79584153 0.44118341 0.45913829 0.65582464 0.12849873 0.66615040 0.08333893 0.63604807 0.11857556 0.05906919 0.88333672 0.31675123 0.60063325 0.85721627 0.08836989 0.74299597 0.46615883 0.92305443 0.39451289 0.93891004 0.24095485 0.90771116 0.92874110 0.68921005 0.65502123 0.13600370 0.90758220 0.13218440 0.34416405 0.93132379 0.41072764 0.74027236 0.87176554 0.65914152 0.66527367 0.20415847 0.48263207 0.09487237 0.58558330 0.91038033 0.88458322 0.32686579 0.21060470 0.49097457 0.25671781 0.37684452 0.76242481 0.91419779 0.47777594 0.72357115 0.16586579 0.31798841 0.67868896 0.89269923 0.74911181 0.57399914 0.68700502 0.56280076 0.94121540 0.20307018 0.16785105 0.28892024 0.87754501 0.70243454 0.05928793 0.91407575 0.53253032 0.44884517 0.79140338 0.30535894 0.51736793 0.09487237 0.19979050 0.24359348 0.22287049 0.92425090 0.24386612 0.90512768 0.65799924 0.43966813 0.35972380 0.77392610 0.66626353 0.48263207 0.37166774 0.35261659 0.70076902 0.76302920 0.79627992 0.92822522 0.29167527
0.11692766 0.05234831 0.12782122 0.16669117 0.54295804 0.15610066 0.76997876 0.83957547 0.74253112 0.88094448 0.44576449 0.88099468 0.70816750 0.01593718 0.60428431 0.01534940 0.66619246 0.06618110 0.03201355 0.91182273 0.19246461 0.61332496 0.89122186 0.15405422 0.78639940 0.47781328 0.95793169 0.40314799 0.96617975 0.14030200 0.94916016 0.96104675 0.73849953 0.64638011 0.14646538 0.94908588 0.14832812 0.33368635 0.96260463 0.86204037 0.67051655 0.92807968 0.69345334 0.61177630 0.11905602 0.54295804 0.98260743 0.51861359 0.95069575 0.93568378 0.53098916 0.12061528 0.33693076 0.24789604 0.34008653 0.80341498 0.95280327 0.41577034 0.57965300 0.13479961 0.31419191 0.72899124 0.94044834 0.73872847 0.68029751 0.71148769 0.51766636 0.96766300 0.21837275 0.17219945 0.27806137 0.93152010 0.64741863 0.09737583 0.95281550 0.48293451 0.48109123 0.67258702 0.25660991 0.45704196 0.98260743 0.11375600 0.22677484 0.12849311 0.95835343 0.14222502 0.01739244 0.71015758 0.58001057 0.24726065 0.81341761 0.98637869 0.54295804 0.51755459 0.34201576 0.58404652 0.74808661 0.83271053 0.96085836 0.29475214
0.31478578 0.16083141 0.33707656 0.40968953 0.67396276 0.39090262 0.85347208 0.90105296 0.83383748 0.43098251 0.39344807 0.47422025 0.80851766 0.27941867 0.68863901 0.11689008 0.46852767 0.40911101 0.24419564 0.70229077 0.45262700 0.51000699 0.65530278 0.13813691 0.86497744 0.38678298 0.69977849 0.33453247 0.77810440 0.36152036 0.65648058 0.72057625 0.83091004 0.71384827 0.11051560 0.65613361 0.20948777 0.42079539 0.72489264 0.44268965 0.80350356 0.56913258 0.47087163 0.73235823 0.56901749 0.67396276 0.06030255 0.71470761 0.66372550 0.59825983 0.17766375 0.32243497 0.83233144 0.32348210 0.50544590 0.87671493 0.67680845 0.31016627 0.93089953 0.30510509 0.46398487 0.82396089 0.61781085 0.81371148 0.32299102 0.61757101 0.81302120 0.77866870 0.07984675 0.12140465 0.21124943 0.58201185 0.53706456 0.10817903 0.67394903 0.46019732 0.29423249 0.94966358 0.16554025 0.32603729 0.06030255 0.30811983 0.33437019 0.33842162 0.71190736 0.36518748 0.93969751 0.81000702 0.17129484 0.72624182 0.88352885 0.85469282 0.67396276 0.11490784 0.42989631 0.89995117 0.89018560 0.89649444 0.71532609 0.39426427
