000001 上证指数 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/02/2003	1347.43	1351.34	1317.47	1320.63	6500849	3992889600.000
01/03/2003	1317.58	1323.63	1312.80	1319.87	4576474	2793520640.000
01/06/2003	1319.69	1334.89	1311.68	1334.68	6750182	4041579520.000
01/07/2003	1335.63	1346.82	1326.19	1332.06	7343361	4471625216.000
01/08/2003	1331.44	1373.12	1330.45	1372.07	9823503	5683200000.000
01/09/2003	1374.62	1402.29	1365.37	1397.38	18529399	11393613824.000
01/10/2003	1398.38	1411.37	1384.63	1384.86	16263380	10683679744.000
01/13/2003	1381.87	1391.19	1378.65	1386.31	8607774	5930495488.000
01/14/2003	1386.90	1476.91	1386.59	1466.85	41012451	23535099904.000
01/15/2003	1477.45	1485.80	1448.27	1459.92	37023032	21700755456.000
01/16/2003	1458.87	1486.06	1454.55	1485.62	24575461	16006001664.000
01/17/2003	1488.27	1492.72	1472.96	1478.68	21566885	13633927168.000
01/20/2003	1475.71	1482.94	1458.12	1482.68	22487876	11284691968.000
01/21/2003	1485.87	1489.55	1454.61	1454.89	17551278	10314683392.000
01/22/2003	1448.83	1463.94	1446.35	1460.53	12139944	7933577728.000
01/23/2003	1460.25	1470.33	1448.70	1450.62	11427729	7516205568.000
01/24/2003	1449.50	1483.56	1448.01	1479.07	14814788	9364667392.000
01/27/2003	1481.61	1500.38	1480.97	1496.16	14672721	9578025984.000
01/28/2003	1497.10	1502.43	1489.17	1500.64	10478566	7385134080.000
01/29/2003	1501.29	1508.59	1498.37	1499.81	12698374	8349481472.000
02/10/2003	1499.17	1499.64	1477.52	1480.17	7999572	5152616448.000
02/11/2003	1478.05	1492.89	1476.87	1492.76	5979854	4429545472.000
02/12/2003	1493.25	1510.98	1486.31	1510.67	10627823	7613083136.000
02/13/2003	1512.29	1519.29	1502.43	1504.34	13093466	9590115328.000
02/14/2003	1503.37	1515.26	1500.98	1510.95	9248664	7083002880.000
02/17/2003	1510.64	1514.64	1490.92	1496.52	11086493	7890347008.000
02/18/2003	1495.14	1500.29	1488.83	1496.47	7252743	5527053824.000
02/19/2003	1496.65	1511.13	1490.02	1510.80	12157155	6911019008.000
02/20/2003	1513.01	1517.77	1507.23	1509.49	10019986	7154949120.000
02/21/2003	1508.08	1508.13	1476.42	1478.87	12053437	8170892800.000
02/24/2003	1476.07	1488.07	1474.47	1481.94	7947813	5768508416.000
02/25/2003	1481.11	1511.65	1481.11	1511.28	12912838	8746189824.000
02/26/2003	1513.49	1515.46	1506.55	1513.18	8486222	6434831872.000
02/27/2003	1514.02	1524.75	1508.75	1513.70	10416200	6899608064.000
02/28/2003	1512.86	1514.50	1501.42	1511.93	8360184	6120044544.000
03/03/2003	1511.58	1525.70	1511.05	1525.48	10236144	8185412096.000
03/04/2003	1527.45	1529.75	1517.86	1524.30	9198499	7596249088.000
03/05/2003	1524.08	1524.12	1508.25	1517.18	8142890	6285592064.000
03/06/2003	1516.60	1517.35	1494.24	1498.34	9982208	7304291328.000
03/07/2003	1495.69	1502.43	1489.38	1493.09	8335401	5924448768.000
03/10/2003	1492.21	1496.16	1467.64	1468.92	8947347	6341021184.000
03/11/2003	1467.55	1473.95	1463.58	1469.55	6336210	4695947264.000
03/12/2003	1468.75	1475.29	1458.50	1475.01	6403671	4665015296.000
03/13/2003	1475.04	1477.86	1463.33	1464.65	6033789	4723875840.000
03/14/2003	1464.99	1471.50	1461.35	1466.04	5613442	4274660352.000
03/17/2003	1465.14	1469.53	1453.37	1469.27	7187381	5182569472.000
03/18/2003	1468.99	1478.99	1458.98	1459.89	7088745	5252868096.000
03/19/2003	1458.58	1475.84	1452.59	1469.96	7637422	5726436352.000
03/20/2003	1469.66	1477.25	1460.80	1464.54	7655740	5749963776.000
03/21/2003	1464.18	1475.81	1461.92	1474.66	7617922	5048464384.000
03/24/2003	1474.59	1477.97	1470.44	1477.77	6524191	4484139008.000
03/25/2003	1478.05	1478.41	1461.75	1462.40	6475235	5034688000.000
03/26/2003	1461.32	1465.43	1452.89	1456.27	6271469	5008053248.000
03/27/2003	1455.44	1507.67	1447.01	1499.35	15051894	11094009856.000
03/28/2003	1498.45	1508.26	1488.60	1491.94	14660784	11204422656.000
03/31/2003	1491.39	1511.22	1490.99	1510.58	11841571	9020447744.000
04/01/2003	1513.00	1525.23	1508.84	1522.55	15222782	11762210816.000
04/02/2003	1522.49	1525.77	1516.79	1521.32	11090214	7883660800.000
04/03/2003	1521.36	1522.67	1510.51	1511.73	9479199	7244444160.000
04/04/2003	1510.22	1521.78	1509.61	1521.13	10240916	7722956288.000
04/07/2003	1521.90	1530.37	1512.50	1515.13	13549293	9793486848.000
04/08/2003	1515.65	1523.95	1513.23	1520.55	16253782	11405372416.000
04/09/2003	1519.98	1545.34	1510.34	1543.67	31762638	18831222784.000
04/10/2003	1546.51	1559.87	1541.29	1551.18	43111014	25276106752.000
04/11/2003	1552.00	1581.70	1548.53	1576.86	39418797	23107809280.000
04/14/2003	1581.38	1616.65	1581.20	1616.07	46769753	30599432192.000
04/15/2003	1619.95	1632.09	1606.73	1631.47	38151012	27973089280.000
04/16/2003	1633.53	1649.60	1598.83	1606.24	44806839	33518757888.000
04/17/2003	1606.23	1621.23	1595.63	1613.60	32118989	23319691264.000
04/18/2003	1616.91	1620.81	1596.67	1603.08	27414894	19793436672.000
04/21/2003	1598.50	1598.58	1557.12	1571.71	25098945	17700247552.000
04/22/2003	1570.57	1575.80	1563.59	1568.69	13557199	10007190528.000
04/23/2003	1568.13	1569.79	1540.07	1541.96	17664771	12803646464.000
04/24/2003	1538.58	1542.11	1492.90	1503.59	24854482	16087604224.000
04/25/2003	1501.57	1513.33	1481.07	1487.15	13901836	10041754624.000
04/28/2003	1483.47	1538.59	1473.27	1537.69	26462607	19483492352.000
04/29/2003	1535.88	1535.88	1508.32	1509.31	20674901	15826241536.000
04/30/2003	1511.15	1539.57	1510.60	1521.44	20966324	15675222016.000
05/12/2003	1522.98	1536.89	1511.87	1531.87	17378744	13231713280.000
05/13/2003	1533.08	1534.80	1481.74	1485.31	25529591	17854607360.000
05/14/2003	1480.11	1523.32	1477.25	1522.92	20254407	13686119424.000
05/15/2003	1524.50	1555.56	1516.43	1555.29	26715503	18580799488.000
05/16/2003	1555.91	1560.72	1543.17	1554.45	18130439	13846645760.000
05/19/2003	1557.29	1563.11	1546.75	1555.45	16507582	11509473280.000
05/20/2003	1553.69	1553.84	1530.67	1535.52	13266615	9327630336.000
05/21/2003	1534.60	1547.31	1530.05	1533.48	10444031	7705705984.000
05/22/2003	1532.19	1546.39	1522.19	1546.11	10989875	8241791488.000
05/23/2003	1547.16	1571.69	1547.09	1560.95	20813339	15523836928.000
05/26/2003	1563.20	1574.39	1561.04	1569.51	17357022	12493193216.000
05/27/2003	1572.31	1575.63	1558.13	1568.34	15966476	12030873600.000
05/28/2003	1569.33	1576.62	1549.06	1551.81	17345719	12434884608.000
05/29/2003	1549.05	1568.54	1543.34	1568.16	16911020	13371713536.000
05/30/2003	1570.92	1581.61	1567.28	1576.26	18321275	14534565888.000
06/02/2003	1577.99	1578.87	1564.61	1576.53	13112817	10551492608.000
06/03/2003	1577.08	1582.41	1561.08	1562.24	12665087	9982816256.000
06/04/2003	1560.67	1574.77	1546.62	1574.11	15927705	11491873792.000
06/05/2003	1575.31	1575.64	1555.45	1556.25	13022067	9466434560.000
06/06/2003	1553.19	1557.76	1538.10	1538.92	13874500	9211237376.000
06/09/2003	1536.27	1548.14	1527.83	1530.21	11346521	7796984320.000
06/10/2003	1529.53	1541.39	1529.52	1538.76	8163290	5869898752.000
06/11/2003	1540.72	1566.90	1540.70	1565.84	15511865	9414199296.000
06/12/2003	1566.92	1569.13	1556.53	1562.11	9547458	6839582720.000
06/13/2003	1562.61	1572.41	1560.30	1566.77	11378882	7710937088.000
06/16/2003	1568.19	1569.55	1555.37	1559.70	9221960	6881061376.000
06/17/2003	1559.12	1564.94	1552.43	1557.18	9952659	6459905024.000
06/18/2003	1556.89	1565.92	1552.83	1553.88	13207889	7332732416.000
06/19/2003	1554.02	1557.38	1530.38	1538.75	14504295	8062166016.000
06/20/2003	1537.50	1542.42	1528.30	1529.47	9253283	5717714432.000
06/23/2003	1524.58	1524.91	1509.43	1511.36	9121908	5933594624.000
06/24/2003	1509.11	1515.84	1504.72	1512.43	7554533	5240832000.000
06/25/2003	1512.49	1515.92	1498.96	1502.08	9119553	5722194432.000
06/26/2003	1500.34	1517.21	1486.08	1515.38	12574490	8089826816.000
06/27/2003	1516.81	1516.87	1494.44	1497.05	10259070	6603171840.000
06/30/2003	1493.69	1500.97	1483.69	1486.02	11418299	5180381696.000
07/01/2003	1485.52	1502.57	1482.82	1484.70	8359717	5577584128.000
07/02/2003	1485.44	1499.97	1477.87	1499.68	7941319	5699399680.000
07/03/2003	1501.90	1507.71	1497.74	1504.44	7366238	5955476480.000
07/04/2003	1504.60	1510.17	1497.46	1502.35	7297746	5593961984.000
07/07/2003	1500.85	1503.81	1490.97	1501.48	7110300	5265861632.000
07/08/2003	1501.62	1513.55	1500.98	1512.02	7483613	5524817920.000
07/09/2003	1512.34	1513.28	1499.34	1503.31	6284420	4734685696.000
07/10/2003	1503.51	1532.19	1501.71	1531.93	15221355	11165335552.000
07/11/2003	1532.64	1535.97	1523.24	1528.85	9795392	7966343168.000
07/14/2003	1528.39	1529.33	1519.12	1521.41	6951944	5599810560.000
07/15/2003	1521.56	1531.00	1516.89	1525.44	8770402	6418292736.000
07/16/2003	1525.50	1529.82	1520.41	1529.49	9458006	6264993792.000
07/17/2003	1529.97	1540.19	1529.36	1539.36	15231598	10987321344.000
07/18/2003	1539.05	1539.06	1506.49	1507.16	13638491	9697510400.000
07/21/2003	1501.39	1504.71	1483.57	1495.89	12215025	8345613824.000
07/22/2003	1499.89	1510.31	1485.46	1498.48	10213118	7617626112.000
07/23/2003	1499.31	1505.31	1491.66	1502.15	7877962	5865801728.000
