000002 Ａ股指数 日线
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
01/02/2003	1408.27	1412.30	1376.71	1380.02	4872655	3799056896.000
01/03/2003	1376.79	1383.10	1371.69	1379.09	3526920	2669313024.000
01/06/2003	1378.87	1394.59	1370.42	1394.37	5687933	3903777024.000
01/07/2003	1395.37	1407.04	1385.42	1391.52	6388812	4340958720.000
01/08/2003	1390.84	1434.40	1389.80	1433.28	8187898	5451726848.000
01/09/2003	1435.92	1465.07	1426.22	1459.91	15638260	10954991616.000
01/10/2003	1460.96	1474.70	1446.63	1446.88	14296381	10394733568.000
01/13/2003	1443.69	1453.38	1440.28	1448.30	7716729	5797916672.000
01/14/2003	1448.90	1542.52	1448.58	1532.18	30490058	22154166272.000
01/15/2003	1543.35	1552.18	1512.87	1525.14	31689587	20913463296.000
01/16/2003	1524.03	1552.11	1519.26	1551.65	20488680	15306805248.000
01/17/2003	1554.44	1559.25	1538.58	1544.55	18039660	13114105856.000
01/20/2003	1541.47	1549.20	1523.15	1548.92	13579343	10404982784.000
01/21/2003	1552.24	1556.06	1519.69	1520.00	12678519	9716690944.000
01/22/2003	1513.62	1529.53	1511.02	1525.97	9944306	7630515200.000
01/23/2003	1525.69	1536.22	1513.77	1515.79	9490128	7250611712.000
01/24/2003	1514.60	1550.23	1513.00	1545.43	12770776	9057052672.000
01/27/2003	1548.09	1567.73	1547.41	1563.34	11629708	9188162560.000
01/28/2003	1564.34	1569.95	1556.03	1568.02	8679021	7150035456.000
01/29/2003	1568.71	1576.46	1565.77	1567.29	9679730	8001031680.000
02/10/2003	1566.63	1567.28	1544.25	1547.00	6456151	4937916928.000
02/11/2003	1544.78	1560.39	1543.59	1560.26	5230343	4310200832.000
02/12/2003	1560.78	1579.41	1553.47	1579.07	9055722	7403998720.000
02/13/2003	1580.78	1588.05	1570.37	1572.40	10805158	9295305728.000
02/14/2003	1571.36	1583.92	1568.86	1579.39	8028512	6924743168.000
02/17/2003	1579.04	1583.20	1558.32	1564.24	9178133	7648072704.000
02/18/2003	1562.76	1568.19	1556.11	1564.15	6497403	5426546688.000
02/19/2003	1564.34	1579.59	1557.35	1579.24	8208907	6527132160.000
02/20/2003	1581.59	1586.61	1575.52	1577.92	8008516	6937776640.000
02/21/2003	1576.41	1576.46	1543.17	1545.76	9480442	7850870784.000
02/24/2003	1542.78	1555.47	1541.10	1549.05	6268168	5581487104.000
02/25/2003	1548.15	1580.07	1548.15	1579.68	9404318	8340368896.000
02/26/2003	1582.06	1584.14	1574.74	1581.74	6797626	6247365632.000
02/27/2003	1582.64	1593.90	1577.09	1582.35	7459030	6591517184.000
02/28/2003	1581.49	1583.26	1569.51	1580.53	6324621	5894183936.000
03/03/2003	1580.17	1595.05	1579.63	1594.83	8653153	8002447872.000
03/04/2003	1596.90	1599.31	1586.78	1593.56	7806618	7418755584.000
03/05/2003	1593.39	1593.41	1576.70	1586.15	6609201	6107787264.000
03/06/2003	1585.56	1586.36	1562.06	1566.41	8285878	7097501184.000
03/07/2003	1563.58	1570.71	1556.97	1561.02	6890798	5741380608.000
03/10/2003	1560.08	1564.20	1534.17	1535.53	7299596	6139487744.000
03/11/2003	1534.08	1540.88	1529.94	1536.29	5029238	4537888768.000
03/12/2003	1535.44	1542.39	1524.73	1542.09	5162178	4514021888.000
03/13/2003	1542.13	1545.15	1529.88	1531.26	5229340	4621066240.000
03/14/2003	1531.61	1538.36	1527.68	1532.71	4732137	4160290048.000
03/17/2003	1531.74	1536.48	1519.44	1536.20	6221578	5066169344.000
03/18/2003	1535.89	1546.40	1525.35	1526.32	5844569	5098675712.000
03/19/2003	1524.99	1543.16	1518.66	1536.98	6522317	5600669696.000
03/20/2003	1536.66	1544.59	1527.27	1531.20	6666801	5636601856.000
03/21/2003	1530.83	1543.11	1528.45	1541.88	5263750	4823661056.000
03/24/2003	1541.82	1545.48	1537.48	1545.26	4663412	4302983168.000
03/25/2003	1545.57	1545.95	1528.59	1529.30	5603095	4917759488.000
03/26/2003	1528.17	1532.50	1519.37	1523.00	5463346	4899833856.000
03/27/2003	1522.10	1576.80	1513.26	1567.82	13235694	10845679616.000
03/28/2003	1566.88	1577.27	1556.62	1560.15	12964627	10987608064.000
03/31/2003	1559.55	1580.48	1559.19	1579.80	10373725	8849128448.000
04/01/2003	1582.36	1595.35	1577.97	1592.45	13165593	11525361664.000
04/02/2003	1592.39	1595.93	1586.45	1591.32	9646511	7713688576.000
04/03/2003	1591.44	1592.75	1579.86	1581.16	8113438	7073627648.000
04/04/2003	1579.55	1591.22	1578.90	1590.53	8577958	7400065536.000
04/07/2003	1591.29	1600.16	1581.58	1584.36	11533415	9497141248.000
04/08/2003	1584.93	1593.81	1582.51	1590.27	14664906	11169187840.000
04/09/2003	1589.68	1616.51	1580.17	1614.75	28060903	18227034112.000
04/10/2003	1617.81	1632.03	1612.57	1622.99	30913888	23953063936.000
04/11/2003	1623.89	1654.91	1620.23	1649.81	28768876	21931073536.000
04/14/2003	1654.57	1691.31	1654.38	1690.69	35508114	29163507712.000
04/15/2003	1694.75	1707.34	1680.93	1706.69	31281704	27015358464.000
04/16/2003	1708.85	1725.71	1672.49	1680.26	38170064	32536606720.000
04/17/2003	1680.25	1695.98	1669.01	1687.94	27901219	22738280448.000
04/18/2003	1691.48	1695.55	1670.10	1676.88	24087829	19361351680.000
04/21/2003	1672.13	1672.22	1628.92	1644.22	20972324	17103853568.000
04/22/2003	1643.05	1648.52	1635.74	1641.13	10933398	9682206720.000
04/23/2003	1640.57	1642.27	1611.33	1613.33	14953481	12371731456.000
04/24/2003	1609.86	1613.53	1561.81	1573.06	18962948	15359415296.000
04/25/2003	1570.95	1583.28	1549.41	1555.84	11686041	9700220928.000
04/28/2003	1551.99	1610.17	1541.26	1609.21	23397297	19012843520.000
04/29/2003	1607.28	1607.28	1578.41	1579.48	18127859	15456512000.000
04/30/2003	1581.41	1611.26	1580.80	1592.20	18398529	15255325696.000
05/12/2003	1593.88	1608.95	1582.24	1603.76	15198985	12922024960.000
05/13/2003	1605.12	1606.95	1551.60	1555.38	22041593	17362825216.000
05/14/2003	1549.94	1595.41	1546.88	1594.99	17652912	13309484032.000
05/15/2003	1596.62	1628.91	1588.06	1628.62	22423531	18048526336.000
05/16/2003	1629.21	1634.39	1615.90	1627.76	15734644	13532553216.000
05/19/2003	1630.74	1636.72	1619.60	1628.70	13210597	11139019776.000
05/20/2003	1626.83	1626.99	1602.70	1607.81	11098276	9055225856.000
05/21/2003	1606.84	1620.23	1602.07	1605.73	8878119	7489592320.000
05/22/2003	1604.35	1619.37	1593.94	1619.08	9377878	8022557184.000
05/23/2003	1620.20	1646.03	1620.13	1634.75	17958677	15161913344.000
05/26/2003	1637.14	1648.87	1634.76	1643.73	15070185	12227042304.000
05/27/2003	1646.62	1650.15	1631.67	1642.46	13956982	11798945792.000
05/28/2003	1643.46	1650.78	1621.81	1624.71	14570923	12056201216.000
05/29/2003	1621.75	1642.20	1615.72	1641.78	14546279	13068942336.000
05/30/2003	1644.71	1655.96	1640.79	1650.30	15779696	14169454592.000
06/02/2003	1652.11	1653.04	1638.13	1650.77	11384129	10292129792.000
06/03/2003	1651.35	1656.98	1634.59	1635.83	10859593	9741830144.000
06/04/2003	1634.15	1649.12	1619.44	1648.43	14084115	11269925888.000
06/05/2003	1649.68	1650.02	1628.85	1629.70	11704592	9301310464.000
06/06/2003	1626.45	1631.38	1610.67	1611.54	10352685	8860280832.000
06/09/2003	1608.73	1621.28	1599.89	1602.42	9697333	7609845248.000
06/10/2003	1601.70	1614.09	1601.68	1611.34	6663704	5702157824.000
06/11/2003	1613.40	1640.86	1613.39	1639.74	12926891	9127091200.000
06/12/2003	1640.87	1643.20	1629.93	1635.80	8070537	6663194112.000
06/13/2003	1636.35	1646.75	1633.95	1640.79	9558919	7519350272.000
06/16/2003	1642.29	1643.73	1628.77	1633.36	7954211	6748182016.000
06/17/2003	1632.71	1638.84	1625.64	1630.66	7079939	6179696128.000
06/18/2003	1630.35	1639.91	1626.06	1627.17	8648008	6924206592.000
06/19/2003	1627.34	1630.88	1602.48	1611.31	9766080	7605196800.000
06/20/2003	1610.01	1615.19	1600.26	1601.50	6555697	5456361984.000
06/23/2003	1596.32	1596.67	1580.40	1582.43	7225763	5734407168.000
06/24/2003	1580.05	1587.17	1575.38	1583.51	6288901	5107710464.000
06/25/2003	1583.58	1587.24	1569.32	1572.63	6740856	5483567616.000
06/26/2003	1570.81	1588.70	1555.84	1586.75	9192953	7770558976.000
06/27/2003	1588.27	1588.32	1564.69	1567.45	7628430	6364366336.000
06/30/2003	1563.90	1571.65	1553.40	1555.91	5701438	4672976384.000
07/01/2003	1555.38	1573.34	1552.50	1554.51	6527477	5386983424.000
07/02/2003	1555.31	1570.54	1547.24	1570.23	6665510	5561806336.000
